section_image,section_title,slug,admin_url
290_PromPalaceMap1.jpg,Caesarea Promontory Palace,caesarea-promontory-palace,https://holy-land-photos.vercel.app/admin/collections/sections/290
289_CircusMap040928.jpg,Caesarea Seaside Circus/Hippodrome,caesarea-seaside-circushippodrome,https://holy-land-photos.vercel.app/admin/collections/sections/289
302_AugustusTempleMap040928.jpg,Caesarea Temple of Augustus and Roma,caesarea-temple-of-augustus-and-roma,https://holy-land-photos.vercel.app/admin/collections/sections/302
323_Calvary050306.jpg,Calvary 15 images,calvary-15-images,https://holy-land-photos.vercel.app/admin/collections/sections/323
297_CamelMap040909.jpg,Camels,camels,https://holy-land-photos.vercel.app/admin/collections/sections/297
CanaMap030817.jpg,Cana of Galilee,cana-of-galilee,https://holy-land-photos.vercel.app/admin/collections/sections/134
CapernaumMap2.jpg,Capernaum,capernaum,https://holy-land-photos.vercel.app/admin/collections/sections/37
Capernaum1.jpg,Capernaum—Greek Orthodox,capernaumgreek-orthodox,https://holy-land-photos.vercel.app/admin/collections/sections/3747
EuphratesRegion03.jpg,Carchemish,carchemish,https://holy-land-photos.vercel.app/admin/collections/sections/3780
470_IJNTMOCG03_400.jpg,Cave of Gethsemane (5 images),cave-of-gethsemane-5-images,https://holy-land-photos.vercel.app/admin/collections/sections/470
480_Bcharee-02.jpg,Cedars of Lebanon,cedars-of-lebanon,https://holy-land-photos.vercel.app/admin/collections/sections/480
251_CenchreaeMap040215.jpg,Cenchreae,cenchreae,https://holy-land-photos.vercel.app/admin/collections/sections/251
IsraelCentral2.jpg,Central,central,https://holy-land-photos.vercel.app/admin/collections/sections/6
198_CentralMap0311031.jpg,Central,central-198,https://holy-land-photos.vercel.app/admin/collections/sections/198
AegeanSCMap2.jpg,Central & Southern Aegean,central-southern-aegean,https://holy-land-photos.vercel.app/admin/collections/sections/23
PergeTarsusPA.jpg,Central Turkey,central-turkey,https://holy-land-photos.vercel.app/admin/collections/sections/8
409_YazChamATemp.jpg,Chamber A,chamber-a,https://holy-land-photos.vercel.app/admin/collections/sections/409
408_ChamberBTemp.jpg,Chamber B,chamber-b,https://holy-land-photos.vercel.app/admin/collections/sections/408
385_AdamMap.jpg,Chapel of Adam 2 images,chapel-of-adam-2-images,https://holy-land-photos.vercel.app/admin/collections/sections/385
383_HellenaMap.jpg,Chapel of Saint Helena 7 images,chapel-of-saint-helena-7-images,https://holy-land-photos.vercel.app/admin/collections/sections/383
382_TrueCrossMap1.jpg,Chapel of True Cross 5 images,chapel-of-true-cross-5-images,https://holy-land-photos.vercel.app/admin/collections/sections/382
321_HolySepulcherMap041031.jpg,Church of Holy Sepulcher (12 folders),church-of-holy-sepulcher-12-folders,https://holy-land-photos.vercel.app/admin/collections/sections/321
454_IJNTMLMM05_400.jpg,Church of Mary Magdalene 11 images,church-of-mary-magdalene-11-images,https://holy-land-photos.vercel.app/admin/collections/sections/454
339_PrimacyMap050217.jpg,Church of Primacy of Peter,church-of-primacy-of-peter,https://holy-land-photos.vercel.app/admin/collections/sections/339
OldCity03.jpg,Church of Saint John the Baptist,church-of-saint-john-the-baptist,https://holy-land-photos.vercel.app/admin/collections/sections/2612
402_GadaraChurchMap1.jpg,Churches,churches,https://holy-land-photos.vercel.app/admin/collections/sections/402
CilicianGates04.jpg,Cilician Gates (10 images),cilician-gates-10-images,https://holy-land-photos.vercel.app/admin/collections/sections/70
166_CisternMap.jpg,Cistern,cistern,https://holy-land-photos.vercel.app/admin/collections/sections/166
