type,id,title,issues,admin_url,public_url
photos,1770,Exterior,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/1770,https://holy-land-photos.vercel.app/photos/IJTBAN01
photos,1783,SB North Gallery,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/1783,https://holy-land-photos.vercel.app/photos/TCMCPE43
photos,1785,Kishon River,inline-image; inline-style; embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/1785,https://holy-land-photos.vercel.app/photos/INJVVS10
photos,1857,Ancient Harbor,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/1857,https://holy-land-photos.vercel.app/photos/TWNAAS23
photos,1861,Medusa 1,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/1861,https://holy-land-photos.vercel.app/photos/TWIBC06
photos,1863,False Door Detail,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/1863,https://holy-land-photos.vercel.app/photos/IJTBAN05
photos,1872,Lerna Springhouse 1a,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/1872,https://holy-land-photos.vercel.app/photos/GSPLCOAS06
photos,2013,Gamala Breach in Wall,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2013,https://holy-land-photos.vercel.app/photos/INGLGM30
photos,2035,Open–Air Temple—Kalybe,inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2035,https://holy-land-photos.vercel.app/photos/INSGSU04
photos,2041,Forum Inscription,inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2041,https://holy-land-photos.vercel.app/photos/INSGSU10
photos,2060,Gerizim & Ebal,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2060,https://holy-land-photos.vercel.app/photos/ICHMMG07
photos,2120,Omrit,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2120,https://holy-land-photos.vercel.app/photos/INHVOM01
