is_ID,is_Image_ID,is_Section_ID
834,TWCSPN13,133
835,TWCSPN14,133
836,TWCSPN15,133
837,TWCSSA01,108
838,TWCSSA02,108
839,TWCSSM01,106
840,TWCSSM02,106
841,TWCSSM03,106
842,TWCSSM04,106
843,TWCSSM05,106
844,TWCSSM06,4
845,TWCSSM07,106
846,TWCSSM08,106
847,TWCSSM09,106
866,TWNAAT01,65
867,TWNAAT02,65
868,TWNAAT03,65
869,TWNAAT04,65
870,TWNAAT05,65
876,TWNAAT11,65
877,TWNAPA01,109
878,TWNAPA02,109
879,TWNAPA03,109
880,TWNAPA04,109
881,TWNAPA05,109
882,TWNAPA06,109
883,TWNAPA07,109
884,TWNAPA08,109
885,TWNAPA09,109
886,TWNAPA10,109
887,TWNAPA11,109
888,TWNAPA12,109
889,TWNAPA13,109
890,TWNAPA14,109
891,TWNAPA15,109
892,TWNAPA16,109
893,TWNAPA17,109
894,TWNAPA18,109
895,TWNAPA19,109
896,TWNAPA20,109
897,TWNAPG01,111
898,TWNAPG02,111
901,TWNAPG05,111
902,TWNAPG06,111
903,TWNAPG07,111
904,TWNAPG08,111
905,TWNAPG09,111
906,TWNAPG10,111
908,TWNAPG12,111
909,TWNAPG13,111
910,TWNAPG14,111
911,TWNAPG15,111
912,TWNAPG16,111
913,TWNAPG17,111
914,TWNAPG18,111
915,TWNAPG19,111
916,TWNAPG20,111
917,TWNAPH01,81
918,TWNAPH02,4
919,TWNAPH03,81
921,TWNAPH05,4
922,TWNAPM01,110
923,TWNAPM02,110
924,TWNAPM03,110
925,TWNAPM04,110
926,TWNAPM05,110
927,TWNAPM06,110
928,TWNAPM07,110
929,TWNAPM08,110
930,TWNAPM09,110
931,TWNAPM10,110
932,TWNAPM11,110
933,TWNAPM12,110
934,TWNAPM13,110
935,TWNAPM14,110
936,TWNAPM15,110
937,TWNAPM16,110
938,TWNAPM17,110
939,TWNAPM18,110
940,TWNAPM19,110
941,TWNAPR01,112
942,TWNAPR02,112
943,TWNAPR03,112
944,TWNAPR04,112
945,TWNAPR05,112
946,TWNAPR06,112
947,TWNAPR07,112
948,TWNAPR08,112
949,TWNAPR09,112
950,TWNAPR10,112
951,TWNASR01,83
953,TWNASR03,83
956,TWNASR06,83
957,TWNASR07,83
958,TWNASR08,83
959,TWNASR09,83
960,TWNASR10,83
961,TWNASR11,83
962,TWNASR12,83
963,TWNASR13,83
964,TWNASR14,83
965,TWNATY01,82
967,TWNATY03,82
968,TWNATY04,82
969,TWNATY05,82
970,TWNATY06,82
971,TWNATY07,82
972,TWSCLD01,107
973,TWSCLD02,107
974,TWSCLD03,107
975,TWSCLD04,107
976,TWSCLD05,107
977,TWSCLD06,107
978,TWSCLD07,107
979,TWSCLD08,107
980,TWSCLD09,107
981,TWSCLD10,107
982,TWSCLD11,107
983,TWSCLD12,107
984,TWSCLD13,107
985,TWSCLD14,107
986,TWSCLD15,107
987,TWSCLD16,107
988,TWSCLD17,107
989,TWSCLD18,107
990,TWSCLD19,107
991,TWSCLD20,107
992,TWSCLD21,107
993,TWSCLD22,107
994,TWSCLD23,107
995,TWSCLD24,107
1007,INSGGB07,105
1021,DLPLTRFG01,141
1022,DLPLTRFG02,141
1041,TWNAAS01,55
1042,TWNAAS02,55
1043,TWNAAS03,55
1044,TWNAAS04,55
1045,TWNAAS05,55
1046,TWNAAS06,55
1047,TWNAAS07,55
1053,TWNAAS13,55
1054,TWNAAS14,55
1055,TWNAAS15,55
1056,TWNAAS16,55
1057,TWNAAS17,55
1058,TWNAAS18,55
1076,IFOTA0301,145
1077,IFOTA0302,145
1078,IFOTA0303,145
1079,IFOTA0304,145
1080,IFOTA0305,145
1081,IFOTA0306,145
1082,IFOTA0307,145
1083,IFOTA0308,145
1084,IFOTA0309,145
1085,IFOTA0310,145
1086,IFOTA0311,145
1087,IFOTA0312,145
1088,IFOTA0313,145
1089,IFOTA0314,145
1090,IFOTA0315,145
1091,IFOTA0316,145
1092,IFOTA0317,145
1110,PSTAFF01,150
1111,PSTAFF02,150
1112,PSTAFF03,150
1113,PSTAFF04,150
1114,PSTAFF05,150
1115,PSTAFF06,150
1116,PSTAFF07,150
1117,PSTAFF08,150
1118,PSTAFF09,150
1120,DLHOIA01,152
1121,DLHOIA02,152
1122,DLHOIA03,152
1123,DLHOIA04,152
1124,DLHOIA05,152
1125,DLHOIA06,152
1126,DLHOHI01,153
1127,DLHOHI02,153
1128,DLHOHI03,153
1129,DLHOHI04,153
1130,DLHOHI05,153
1131,DLHOHI06,153
1132,DLHOHI07,153
1133,DLHOHI08,153
1134,DLHOHI09,153
1135,DLHOHI10,153
1136,DLHOHI11,153
1137,DLPLWH01,154
1138,DLPLWH02,154
1139,DLPLWH03,154
1140,DLPLWH04,154
1141,DLPLWH05,154
1142,DLPLWH06,154
1143,DLPLWH07,154
1144,DLPLWH08,154
1145,DLPLBD01,158
1146,DLPLBD02,158
1147,DLCWWI01,160
1148,DLCWWI02,160
1149,DLRTRR01,162
1150,DLSSSD01,164
1151,DLSSSD02,164
1152,DLSSSD03,164
1153,DLSSSD04,164
1154,DLSSSD05,164
1155,DLCWCS01,166
1156,DLCWCS02,166
1157,DLCWCS03,166
1158,DLCWCS04,166
1160,DLCWCS05,167
1161,DLPLWH09,154
1162,DLPLGP01,168
1163,DLPLGP02,168
1164,DLPLGP03,168
1165,DLPLGP04,168
1166,DLPLGP05,168
1167,DLPLGP06,168
1168,DLPLGP07,168
1169,DLPLGP08,168
1170,DLPLGP09,168
1171,DLPLGP10,168
1172,DLPLGP11,168
1173,ICHJVS01,169
1174,ICHJVS02,169
1175,ICHJVS03,169
1176,ICHJVS04,169
1177,ICHJVS05,169
1178,ICHJVS06,169
1179,ICHJVS07,169
1180,ICHJVS08,169
1181,DLPLGP01,169
1182,DLPLGP02,169
1183,IFOTA0319,145
1184,IFOTA0320,145
1185,IFOTA0321,145
1186,IFOTA0322,145
1187,IFOTA0323,145
1188,IFOTA0324,145
1196,PSTAFF20,150
1197,IFOTA0325,145
1198,IFOTA0326,145
1199,DLPLTRAT01,171
1200,DLPLTRAT02,171
1201,DLPLTRAT03,171
1206,ISNVRH01,173
1207,ISNVRH02,173
1208,ISNVRH02,166
1209,IFOTA0327,145
1210,IFOTA0328,145
1211,IFOTA0329,145
1212,IFOTA0330,145
1213,IFOTA0331,145
1214,IFOTA0332,145
1215,IFOTA0333,145
1216,TWCSPN21,133
1217,TWCSPN22,133
1218,TWCSPN23,133
1219,TWCSPN24,133
1220,TWCSPN25,133
1221,ICDSQM01,177
1222,ICDSQM02,177
1223,ICDSQM03,177
1224,ICDSQM04,177
1225,ICDSQM05,177
1226,ICDSQM06,177
1227,ICDSQM07,177
1228,ICDSQM08,177
1229,ICDSQM09,177
1230,ICDSQM10,177
1231,TWCSPN31,179
1232,TWCSPN32,179
1233,TWCSPN33,179
1234,TWCSPN34,179
1235,TWCSPN35,179
1236,TWCSPN36,179
1237,TWCSPN37,179
1238,TWCSPN38,179
1239,TWCSPN39,179
1240,TWCSPN40,179
1241,TWCSPN41,179
1242,TWCSPN42,179
1243,TWCSPN43,179
1244,TCMCTS08,162
1245,GNMTBR08,162
1246,GNMTVE02,162
1250,GSPLOM07,135
1252,GSPLOM08,135
1253,GSPLOM09,135
1254,GSPLOM10,135
1255,GSPLOM11,135
1256,GSPLOM12,135
1257,GSPLOM13,135
1258,GSPLOM14,135
1259,GSPLOM15,135
1260,GSPLOM16,135
1261,GSPLOM17,135
1262,GSPLOM18,135
1263,DLPLTROL01,181
1264,DLPLTROL02,181
1265,DLPLTROL03,181
1266,DLPLTROL04,181
1267,IJNTGE05,181
1268,INGLKZ13,181
1269,INSGCP14,181
1270,DLRTRR02,162
1271,DLSSSD06,164
1272,DLSSSD07,164
1273,DLSSSD08,164
1274,DLSSSD09,164
1278,INLGNZ04,182
1279,INLGNZ05,182
1280,INLGNZ06,182
1281,INLGNZ07,182
1282,INLGNZ08,182
1283,TWTQAD01,184
1284,TWTQAD02,184
1285,TWTQAD03,184
1286,TWTQAD10,184
1287,TWTQAD04,184
1288,TWTQAD05,184
1289,TWTQAD06,184
1290,TWTQAD07,184
1291,TWTQAD08,184
1292,TWTQAD09,184
1293,TWTQMYTH01,186
1294,TWTQMYTH02,186
1295,TWTQMYTH03,186
1296,TWTQMYTH04,186
1297,TWTQMYTH05,186
1298,TWTQMYTH06,186
1299,TWTQMYTH07,186
1300,TWTQMYTH08,186
1301,TWTQMYTH09,186
1302,TWTQMYTH10,186
1303,TWTQMYTH11,186
1304,TWTQMYTM01,187
1305,TWTQMYTM02,187
1306,TWTQMYTM03,187
1307,TWTQMYTM04,187
1308,TWTQMYTM05,187
1309,TWTQMYTM06,187
1310,TWTQMYCH01,188
1311,TWTQMYCH02,188
1312,TWTQMYCH03,188
1313,TWTQMYCH04,188
1314,TWTQMYCH05,188
1315,TWTQMYCH06,188
1316,TWTQMYCH07,188
1317,TWTQMYCH08,188
1318,TWTQPT01,189
1319,TWTQPT02,189
1320,TWTQPT03,189
1326,TWTQPT09,189
1327,TWTQPT10,189
1328,TWTQPT11,189
1329,TWTQPT12,189
1330,TWTQPT13,189
1331,TWTQPT14,189
1332,TWTQPT15,189
1333,TWTQPT16,189
1334,TWTQXN01,190
1335,TWTQXN02,190
1336,TWTQXN03,190
1337,TWTQXN04,190
1338,TWTQXN05,190
1339,TWTQXN06,190
1340,TWTQXN07,190
1341,TWTQXN08,190
1342,TWTQXN09,190
1343,TWTQXN10,190
1344,TWTQXN11,190
1345,TWTQXN12,190
1346,TWTQXN13,190
1347,TWTQXN14,190
1348,TWTQXN15,190
1349,TWTQXN16,190
1350,TWTQPH01,191
1351,TWTQPH02,191
1352,TWTQPH03,191
1353,TWTQPH04,191
1354,TWTQPH05,191
1355,TWTQPH06,191
1356,TWTQPH07,191
1357,TWTQPH08,191
1358,TWTQPH09,191
1359,TWTQPH10,191
1360,TWTQXN17,190
1361,TWTQXN18,190
1362,TWTQXN19,190
1363,TWTQXN20,190
1364,TWTQXN22,190
1366,TWCSHR01,194
1367,TWCSHR02,194
1368,TWCSHR03,194
1369,TWCSHR04,194
1370,TWCSHR05,194
1371,TWCSHR06,194
1372,TWCSHR07,194
1373,TWCSHR08,194
1374,TWCSHR09,194
1375,TWCSHR10,194
1380,TWCSHR15,194
1381,TWCSHR16,194
1382,TWCSHR17,194
1383,TWCSHR50,195
1384,TWCSHR51,195
1385,TWCSHR52,195
1386,TWCSHR53,195
1387,TWCSHR54,195
1388,TWCSHR55,195
1389,TWCSHR56,195
1390,TWCSHR57,195
1391,TWCSHR58,195
1392,TWCSHR70,196
1393,TWCSHR71,196
1394,TWCSHR72,196
1395,TWCSHR73,196
1396,TWCSHR74,196
1397,TWCSHR75,196
1398,TWCSHR76,196
1399,TWCSHR77,196
1400,TWCSHR81,196
1401,TWCSHR78,196
1402,TWCSHR79,196
1403,TWCSHR80,196
